YYYY-MM-DD,Mass balance (mm/yr),Mass balance uncertainty (mm/yr),Cumulative mass balance anomaly (mm),Cumulative mass balance anomaly uncertainty (mm),Surface mass balance anomaly (mm/yr),Surface mass balance anomaly uncertainty (mm/yr),Cumulative surface mass balance anomaly (mm),Cumulative surface mass balance anomaly uncertainty (mm),Dynamics mass balance anomaly (mm/yr),Dynamics mass balance anomaly uncertainty (mm/yr),Cumulative dynamics mass balance anomaly (mm),Cumulative dynamics mass balance anomaly uncertainty (mm)
    1979-01-01,0.156706944,-0.268989167,0.013058889,-0.077650556,-0.204114448,-0.117564498,-0.017009537,-0.084743036,0.360821392,-0.293558483,0.030068449,-0.033937948
    1979-02-01,0.156706944,-0.268989167,0.026117778,-0.109814444,-0.204114448,-0.117564498,-0.034019075,-0.119844751,0.360821392,-0.293558483,0.060136899,-0.047995506
    1979-03-01,0.156706944,-0.268989167,0.039176667,-0.134494444,-0.204114448,-0.117564498,-0.051028612,-0.146779244,0.360821392,-0.293558483,0.090205348,-0.05878225
    1979-04-01,0.156706944,-0.268989167,0.052235556,-0.155300833,-0.204114448,-0.117564498,-0.068038149,-0.169486072,0.360821392,-0.293558483,0.120273797,-0.067875896
    1979-05-01,0.156706944,-0.268989167,0.065294444,-0.173631667,-0.204114448,-0.117564498,-0.085047687,-0.189491189,0.360821392,-0.293558483,0.150342247,-0.075887559
    1979-06-01,0.156706944,-0.268989167,0.078353333,-0.190203889,-0.204114448,-0.117564498,-0.102057224,-0.207577198,0.360821392,-0.293558483,0.180410696,-0.083130655
    1979-07-01,0.156706944,-0.268989167,0.091412222,-0.205443889,-0.204114448,-0.117564498,-0.119066761,-0.224208999,0.360821392,-0.293558483,0.210479145,-0.08979137
    1979-08-01,0.156706944,-0.268989167,0.104471111,-0.219628611,-0.204114448,-0.117564498,-0.136076298,-0.239689502,0.360821392,-0.293558483,0.240547595,-0.095991012
    1979-09-01,0.156706944,-0.268989167,0.11753,-0.232951389,-0.204114448,-0.117564498,-0.153085836,-0.254229108,0.360821392,-0.293558483,0.270616044,-0.101813844
    1979-10-01,0.156706944,-0.268989167,0.130589167,-0.245552222,-0.204114448,-0.117564498,-0.170095373,-0.26798101,0.360821392,-0.293558483,0.300684493,-0.107321215
    1979-11-01,0.156706944,-0.268989167,0.143648056,-0.2575375,-0.204114448,-0.117564498,-0.18710491,-0.281060854,0.360821392,-0.293558483,0.330752943,-0.112559439
    1979-12-01,0.156706944,-0.268989167,0.156706944,-0.268989167,-0.204114448,-0.117564498,-0.204114448,-0.293558488,0.360821392,-0.293558483,0.360821392,-0.1175645
    1980-01-01,0.061886111,-0.130915833,0.161863889,-0.271630833,-0.204114448,-0.117564498,-0.221123985,-0.297920487,0.266000559,-0.175955581,0.382988105,-0.122365011
    1980-02-01,0.061886111,-0.130915833,0.167021111,-0.2742475,-0.204114448,-0.117564498,-0.238133522,-0.302219535,0.266000559,-0.175955581,0.405154819,-0.126984173
    1980-03-01,0.061886111,-0.130915833,0.172178333,-0.276839167,-0.204114448,-0.117564498,-0.25514306,-0.306458281,0.266000559,-0.175955581,0.427321532,-0.131441107
    1980-04-01,0.061886111,-0.130915833,0.177335556,-0.279406667,-0.204114448,-0.117564498,-0.272152597,-0.310639194,0.266000559,-0.175955581,0.449488245,-0.135751792
    1980-05-01,0.061886111,-0.130915833,0.182492778,-0.281951111,-0.204114448,-0.117564498,-0.289162134,-0.314764578,0.266000559,-0.175955581,0.471654958,-0.139929744
    1980-06-01,0.061886111,-0.130915833,0.18765,-0.2844725,-0.204114448,-0.117564498,-0.306171672,-0.318836588,0.266000559,-0.175955581,0.493821672,-0.143986519
    1980-07-01,0.061886111,-0.130915833,0.192807222,-0.286971944,-0.204114448,-0.117564498,-0.323181209,-0.322857245,0.266000559,-0.175955581,0.515988385,-0.147932085
    1980-08-01,0.061886111,-0.130915833,0.197964444,-0.289449722,-0.204114448,-0.117564498,-0.340190746,-0.326828443,0.266000559,-0.175955581,0.538155098,-0.151775117
    1980-09-01,0.061886111,-0.130915833,0.203121389,-0.291906389,-0.204114448,-0.117564498,-0.357200283,-0.330751964,0.266000559,-0.175955581,0.560321811,-0.155523215
    1980-10-01,0.061886111,-0.130915833,0.208278611,-0.2943425,-0.204114448,-0.117564498,-0.374209821,-0.334629485,0.266000559,-0.175955581,0.582488524,-0.159183086
    1980-11-01,0.061886111,-0.130915833,0.213435833,-0.296758889,-0.204114448,-0.117564498,-0.391219358,-0.338462588,0.266000559,-0.175955581,0.604655238,-0.16276068
    1980-12-01,0.061886111,-0.130915833,0.218593056,-0.299155556,-0.2044,-0.117568064,-0.408252691,-0.342252865,0.266286111,-0.175957964,0.626845747,-0.166261521
    1981-01-01,5.81E-05,-0.116132222,0.218597778,-0.301028056,-0.525737169,-0.121580696,-0.452064122,-0.345677215,0.525795225,-0.168132563,0.670662016,-0.169925617
    1981-02-01,5.81E-05,-0.116132222,0.218602778,-0.302889167,-0.525737169,-0.121580696,-0.495875553,-0.349067974,0.525795225,-0.168132563,0.714478284,-0.173512356
    1981-03-01,5.81E-05,-0.116132222,0.2186075,-0.304738889,-0.525737169,-0.121580696,-0.539686984,-0.352426111,0.525795225,-0.168132563,0.758294553,-0.177026438
    1981-04-01,5.81E-05,-0.116132222,0.2186125,-0.306577222,-0.525737169,-0.121580696,-0.583498414,-0.35575255,0.525795225,-0.168132563,0.802110822,-0.180472109
    1981-05-01,5.81E-05,-0.116132222,0.218617222,-0.308404722,-0.525737169,-0.121580696,-0.627309845,-0.359048173,0.525795225,-0.168132563,0.845927091,-0.183853214
    1981-06-01,5.81E-05,-0.116132222,0.218622222,-0.310221667,-0.525737169,-0.121580696,-0.671121276,-0.362313819,0.525795225,-0.168132563,0.889743359,-0.187173252
    1981-07-01,5.81E-05,-0.116132222,0.218626944,-0.312027778,-0.525737169,-0.121580696,-0.714932707,-0.365550293,0.525795225,-0.168132563,0.933559628,-0.190435418
    1981-08-01,5.81E-05,-0.116132222,0.218631667,-0.313823611,-0.525737169,-0.121580696,-0.758744137,-0.368758363,0.525795225,-0.168132563,0.977375897,-0.193642637
    1981-09-01,5.81E-05,-0.116132222,0.218636667,-0.315609167,-0.525737169,-0.121580696,-0.802555568,-0.371938763,0.525795225,-0.168132563,1.021192165,-0.196797594
    1981-10-01,5.81E-05,-0.116132222,0.218641389,-0.317384444,-0.525737169,-0.121580696,-0.846366999,-0.375092198,0.525795225,-0.168132563,1.065008434,-0.199902764
    1981-11-01,5.81E-05,-0.116132222,0.218646389,-0.319150278,-0.525737169,-0.121580696,-0.89017843,-0.378219341,0.525795225,-0.168132563,1.108824703,-0.202960433
    1981-12-01,5.81E-05,-0.116132222,0.218651111,-0.320906111,-0.525523472,-0.12157797,-0.933972052,-0.381320768,0.525581528,-0.168130592,1.152623164,-0.205972581
    1982-01-01,0.060137778,-0.114371389,0.2236625,-0.3226,-0.285046387,-0.118510575,-0.957725918,-0.38427333,0.345184164,-0.164698424,1.181388511,-0.208794398
    1982-02-01,0.060137778,-0.114371389,0.228674167,-0.324285278,-0.285046387,-0.118510575,-0.981479784,-0.387203379,0.345184164,-0.164698424,1.210153858,-0.211578584
    1982-03-01,0.060137778,-0.114371389,0.233685556,-0.325961667,-0.285046387,-0.118510575,-1.005233649,-0.390111421,0.345184164,-0.164698424,1.238919205,-0.214326605
    1982-04-01,0.060137778,-0.114371389,0.238696944,-0.327629444,-0.285046387,-0.118510575,-1.028987515,-0.392997946,0.345184164,-0.164698424,1.267684552,-0.217039835
    1982-05-01,0.060137778,-0.114371389,0.243708611,-0.329288611,-0.285046387,-0.118510575,-1.05274138,-0.395863423,0.345184164,-0.164698424,1.296449899,-0.219719563
    1982-06-01,0.060137778,-0.114371389,0.24872,-0.330939722,-0.285046387,-0.118510575,-1.076495246,-0.398708307,0.345184164,-0.164698424,1.325215246,-0.222367
    1982-07-01,0.060137778,-0.114371389,0.253731389,-0.332582778,-0.285046387,-0.118510575,-1.100249111,-0.401533035,0.345184164,-0.164698424,1.353980593,-0.224983286
    1982-08-01,0.060137778,-0.114371389,0.258742778,-0.3342175,-0.285046387,-0.118510575,-1.124002977,-0.40433803,0.345184164,-0.164698424,1.38274594,-0.227569496
    1982-09-01,0.060137778,-0.114371389,0.263754444,-0.335844167,-0.285046387,-0.118510575,-1.147756842,-0.4071237,0.345184164,-0.164698424,1.411511287,-0.230126643
    1982-10-01,0.060137778,-0.114371389,0.268765833,-0.337463333,-0.285046387,-0.118510575,-1.171510708,-0.409890438,0.345184164,-0.164698424,1.440276634,-0.232655686
    1982-11-01,0.060137778,-0.114371389,0.273777222,-0.339074444,-0.285046387,-0.118510575,-1.195264574,-0.412638626,0.345184164,-0.164698424,1.469041981,-0.235157532
    1982-12-01,0.060137778,-0.114371389,0.278788889,-0.340678056,-0.284671136,-0.118503018,-1.218987168,-0.415368452,0.344808914,-0.164692987,1.497776057,-0.237632725
    1983-01-01,0.044868056,-0.113037222,0.282527778,-0.342237222,0.137605794,-0.109999042,-1.207520019,-0.417856496,-0.092737739,-0.157725086,1.490047912,-0.239744922
