Date,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance anomaly (Gt),Cumulative mass balance anomaly uncertainty (Gt),Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt)
01/07/1971,65.9465,68.5751,5.495541667,19.79592658,-132.4298096,77.75986481,-11.03581746,22.44733984,198.3763096,103.6780638,16.53135913,29.92927956
01/08/1971,65.9465,68.5751,10.99108333,27.99566785,-132.4298096,77.75986481,-22.07163493,31.74533244,198.3763096,103.6780638,33.06271826,42.32639307
01/09/1971,65.9465,68.5751,16.486625,34.28755062,-132.4298096,77.75986481,-33.10745239,38.8799331,198.3763096,103.6780638,49.59407739,51.83903283
01/10/1971,65.9465,68.5751,21.98216667,39.59185316,-132.4298096,77.75986481,-44.14326986,44.89467968,198.3763096,103.6780638,66.12543652,59.85855912
01/11/1971,65.9465,68.5751,27.47770833,44.26503751,-132.4298096,77.75986481,-55.17908732,50.1937778,198.3763096,103.6780638,82.65679565,66.92390362
01/12/1971,65.9465,68.5751,32.97325,48.4899191,-132.234472,77.76271024,-66.19862665,54.98486404,198.180972,103.6801979,99.17187665,73.31171481
01/01/1972,65.9465,68.5751,38.46879167,52.3750987,267.6947632,83.58838654,-43.89072972,60.04653882,-201.7482632,108.1182811,82.35952139,79.67896704
01/02/1972,65.9465,68.5751,43.96433333,55.99133569,267.6947632,83.58838654,-21.58283279,64.71350999,-201.7482632,108.1182811,65.54716612,85.57375794
01/03/1972,65.9465,68.5751,49.459875,59.38777973,267.6947632,83.58838654,0.725064141,69.06583763,-201.7482632,108.1182811,48.73481086,91.08786038
01/04/1972,65.9465,68.5751,54.95541667,62.60021638,267.6947632,83.58838654,23.03296107,73.15969846,-201.7482632,108.1182811,31.92245559,96.28669985
01/05/1972,65.9465,68.5751,60.45095833,65.65566084,267.6947632,83.58838654,45.34085801,77.03630981,-201.7482632,108.1182811,15.11010033,101.218866
01/06/1972,65.9465,68.5751,65.9465,68.57510123,267.6947632,83.58838654,67.64875494,80.72697554,-201.7482632,108.1182811,-1.702254937,105.9216177
01/07/1972,65.9465,68.5751,71.44204167,71.37522832,267.6947632,83.58838654,89.95665187,84.25613409,-201.7482632,108.1182811,-18.5146102,110.4242697
01/08/1972,65.9465,68.5751,76.93758333,74.06957491,267.6947632,83.58838654,112.2645488,87.64329799,-201.7482632,108.1182811,-35.32696547,114.7503796
01/09/1972,65.9465,68.5751,82.433125,76.66929396,267.6947632,83.58838654,134.5724457,90.90434112,-201.7482632,108.1182811,-52.13932073,118.9192157
01/10/1972,65.9465,68.5751,87.92866667,79.18370631,267.6947632,83.58838654,156.8803427,94.0523832,-201.7482632,108.1182811,-68.951676,122.9467776
01/11/1972,65.9465,68.5751,93.42420833,81.62069624,267.6947632,83.58838654,179.1882396,97.09841573,-201.7482632,108.1182811,-85.76403126,126.846523
01/12/1972,65.9465,68.5751,98.91975,83.98700354,267.5861602,83.58172306,201.4870863,100.0512921,-201.6396602,108.1131295,-102.5673363,130.6295442
01/01/1973,58.5307,66.8645,103.7973083,86.17649654,45.39782715,69.94908142,205.2702385,102.0686072,13.13287285,96.76639578,-101.4729302,133.5828924
01/02/1973,58.5307,66.8645,108.6748667,88.31172261,45.39782715,69.94908142,209.0533908,104.0468168,13.13287285,96.76639578,-100.3785241,136.4723431
01/03/1973,58.5307,66.8645,113.552425,90.39652728,45.39782715,69.94908142,212.8365431,105.9881107,13.13287285,96.76639578,-99.28411806,139.3018727
01/04/1973,58.5307,66.8645,118.4299833,92.43432229,45.39782715,69.94908142,216.6196953,107.8944814,13.13287285,96.76639578,-98.18971199,142.0750613
01/05/1973,58.5307,66.8645,123.3075417,94.42815115,45.39782715,69.94908142,220.4028476,109.7677486,13.13287285,96.76639578,-97.09530592,144.7951462
01/06/1973,58.5307,66.8645,128.1851,96.38074249,45.39782715,69.94908142,224.1859999,111.6095791,13.13287285,96.76639578,-96.00089985,147.4650659
01/07/1973,58.5307,66.8645,133.0626583,98.29455385,45.39782715,69.94908142,227.9691521,113.4215044,13.13287285,96.76639578,-94.90649378,150.0874977
01/08/1973,58.5307,66.8645,137.9402167,100.171808,45.39782715,69.94908142,231.7523044,115.2049355,13.13287285,96.76639578,-93.81208771,152.6648888
01/09/1973,58.5307,66.8645,142.817775,102.014523,45.39782715,69.94908142,235.5354566,116.961176,13.13287285,96.76639578,-92.71768164,155.1994832
01/10/1973,58.5307,66.8645,147.6953333,103.824538,45.39782715,69.94908142,239.3186089,118.6914327,13.13287285,96.76639578,-91.62327557,157.6933445
01/11/1973,58.5307,66.8645,152.5728917,105.6035345,45.39782715,69.94908142,243.1017612,120.396826,13.13287285,96.76639578,-90.5288695,160.1483756
01/12/1973,58.5307,66.8645,157.45045,107.3530544,45.37167668,69.95562162,246.8827342,122.0787102,13.15902332,96.77112357,-89.43228422,162.5665702
01/01/1974,22.1112,65.3361,159.29305,108.9973033,-8.089813232,83.32627106,246.2085831,124.4259503,30.20101323,105.8870786,-86.91553312,165.4153235
01/02/1974,22.1112,65.3361,161.13565,110.6171143,-8.089813232,83.32627106,245.534432,126.7297233,30.20101323,105.8870786,-84.39878201,168.2158397
01/03/1974,22.1112,65.3361,162.97825,112.2135456,-8.089813232,83.32627106,244.8602809,128.9923579,30.20101323,105.8870786,-81.88203091,170.9704893
01/04/1974,22.1112,65.3361,164.82085,113.7875813,-8.089813232,83.32627106,244.1861298,131.2159824,30.20101323,105.8870786,-79.36527981,173.6814547
01/05/1974,22.1112,65.3361,166.66345,115.3401383,-8.089813232,83.32627106,243.5119787,133.4025475,30.20101323,105.8870786,-76.84852871,176.3507504
01/06/1974,22.1112,65.3361,168.50605,116.8720726,-8.089813232,83.32627106,242.8378276,135.5538466,30.20101323,105.8870786,-74.3317776,178.980241
01/07/1974,22.1112,65.3361,170.34865,118.3841847,-8.089813232,83.32627106,242.1636765,137.6715329,30.20101323,105.8870786,-71.8150265,181.5716557
01/08/1974,22.1112,65.3361,172.19125,119.8772248,-8.089813232,83.32627106,241.4895254,139.7571344,30.20101323,105.8870786,-69.2982754,184.1266022
01/09/1974,22.1112,65.3361,174.03385,121.3518969,-8.089813232,83.32627106,240.8153743,141.8120667,30.20101323,105.8870786,-66.7815243,186.6465781
01/10/1974,22.1112,65.3361,175.87645,122.8088625,-8.089813232,83.32627106,240.1412232,143.8376442,30.20101323,105.8870786,-64.26477319,189.1329813
01/11/1974,22.1112,65.3361,177.71905,124.2487447,-8.089813232,83.32627106,239.4670721,145.8350902,30.20101323,105.8870786,-61.74802209,191.5871188
01/12/1974,22.1112,65.3361,179.56165,125.6721306,-8.072108281,83.31780535,238.7943964,147.8051474,30.18330828,105.8804168,-59.2327464,194.0099121
01/01/1975,19.3552,64.0763,181.1745833,127.0261079,28.09707642,66.02333832,241.1358194,149.028918,-8.741876416,92.00463806,-59.9612361,195.8194334
01/02/1975,19.3552,64.0763,182.7875167,128.3658046,28.09707642,66.02333832,243.4772425,150.2427209,-8.741876416,92.00463806,-60.6897258,197.6123857
01/03/1975,19.3552,64.0763,184.40045,129.6916632,28.09707642,66.02333832,245.8186655,151.4467958,-8.741876416,92.00463806,-61.4182155,199.389216
01/04/1975,19.3552,64.0763,186.0133833,131.0041037,28.09707642,66.02333832,248.1600885,152.6413729,-8.741876416,92.00463806,-62.14670521,201.1503515
01/05/1975,19.3552,64.0763,187.6263167,132.3035256,28.09707642,66.02333832,250.5015116,153.8266736,-8.741876416,92.00463806,-62.87519491,202.896201
01/06/1975,19.3552,64.0763,189.23925,133.5903087,28.09707642,66.02333832,252.8429346,155.0029106,-8.741876416,92.00463806,-63.60368461,204.6271558
01/07/1975,19.3552,64.0763,190.8521833,134.8648148,28.09707642,66.02333832,255.1843576,156.1702887,-8.741876416,92.00463806,-64.33217431,206.3435905
01/08/1975,19.3552,64.0763,192.4651167,136.1273888,28.09707642,66.02333832,257.5257807,157.3290051,-8.741876416,92.00463806,-65.06066401,208.0458647
01/09/1975,19.3552,64.0763,194.07805,137.3783596,28.09707642,66.02333832,259.8672037,158.4792498,-8.741876416,92.00463806,-65.78915371,209.7343232
01/10/1975,19.3552,64.0763,195.6909833,138.6180413,28.09707642,66.02333832,262.2086267,159.621206,-8.741876416,92.00463806,-66.51764341,211.4092968
01/11/1975,19.3552,64.0763,197.3039167,139.8467342,28.09707642,66.02333832,264.5500498,160.7550503,-8.741876416,92.00463806,-67.24613311,213.0711038
01/12/1975,19.3552,64.0763,198.91685,141.0647255,28.17001811,66.04566815,266.8975513,161.8817121,-8.814818111,92.02066346,-67.98070129,214.720622
01/01/1976,51.4543,63.0363,203.2047083,142.2335686,177.0726929,111.629631,281.653609,165.0579292,-125.6183929,128.1980875,-78.4489007,217.8864567
01/02/1976,51.4543,63.0363,207.4925667,143.3928845,177.0726929,111.629631,296.4096668,168.1741693,-125.6183929,128.1980875,-88.9171001,221.0069468
01/03/1976,51.4543,63.0363,211.780425,144.5429022,177.0726929,111.629631,311.1657245,171.2337072,-125.6183929,128.1980875,-99.38529951,224.0839866
01/04/1976,51.4543,63.0363,216.0682833,145.6838421,177.0726929,111.629631,325.9217822,174.2395297,-125.6183929,128.1980875,-109.8534989,227.1193421
01/05/1976,51.4543,63.0363,220.3561417,146.8159158,177.0726929,111.629631,340.67784,177.1943706,-125.6183929,128.1980875,-120.3216983,230.1146629
01/06/1976,51.4543,63.0363,224.644,147.9393268,177.0726929,111.629631,355.4338977,180.1007391,-125.6183929,128.1980875,-130.7898977,233.0714925
