YYYY-MM-DD,Mass balance (Gt/yr),Mass balance uncertainty (Gt/yr),Cumulative mass balance anomaly (Gt),Cumulative mass balance anomaly uncertainty (Gt),Surface mass balance anomaly (Gt/yr),Surface mass balance anomaly uncertainty (Gt/yr),Cumulative surface mass balance anomaly (Gt),Cumulative surface mass balance anomaly uncertainty (Gt),Dynamics mass balance anomaly (Gt/yr),Dynamics mass balance anomaly uncertainty (Gt/yr),Cumulative dynamics mass balance anomaly (Gt),Cumulative dynamics mass balance anomaly uncertainty (Gt)
    1971-07-01,-0.183184722,-0.190486389,-0.015265394,-0.054988685,0.359502241,-0.07720196,0.02995852,-0.059333246,-0.542686964,-0.205536388,-0.045223914,-0.022286287
    1971-08-01,-0.183184722,-0.190486389,-0.030530787,-0.077765744,0.359502241,-0.07720196,0.05991704,-0.083909881,-0.542686964,-0.205536388,-0.090447827,-0.031517569
    1971-09-01,-0.183184722,-0.190486389,-0.045796181,-0.095243196,0.359502241,-0.07720196,0.08987556,-0.102768196,-0.542686964,-0.205536388,-0.135671741,-0.038600981
    1971-10-01,-0.183184722,-0.190486389,-0.061061574,-0.10997737,0.359502241,-0.07720196,0.11983408,-0.118666491,-0.542686964,-0.205536388,-0.180895655,-0.044572573
    1971-11-01,-0.183184722,-0.190486389,-0.076326968,-0.122958438,0.359502241,-0.07720196,0.149792601,-0.132673171,-0.542686964,-0.205536388,-0.226119568,-0.049833652
    1971-12-01,-0.183184722,-0.190486389,-0.091592361,-0.13469422,0.358964017,-0.077203279,0.179706269,-0.145336235,-0.54214874,-0.205536884,-0.27129863,-0.054590186
    1972-01-01,-0.183184722,-0.190486389,-0.106857755,-0.145486385,-0.742982229,-0.079903528,0.117791083,-0.157093681,0.559797506,-0.206566305,-0.224648838,-0.059263279
    1972-02-01,-0.183184722,-0.190486389,-0.122123148,-0.155531488,-0.742982229,-0.079903528,0.055875897,-0.168030437,0.559797506,-0.206566305,-0.177999045,-0.0635939
    1972-03-01,-0.183184722,-0.190486389,-0.137388542,-0.164966055,-0.742982229,-0.079903528,-0.006039288,-0.178297592,0.559797506,-0.206566305,-0.131349253,-0.067647852
    1972-04-01,-0.183184722,-0.190486389,-0.152653935,-0.17388949,-0.742982229,-0.079903528,-0.067954474,-0.188004879,0.559797506,-0.206566305,-0.084699461,-0.071472231
    1972-05-01,-0.183184722,-0.190486389,-0.167919329,-0.182376836,-0.742982229,-0.079903528,-0.12986966,-0.197234981,0.559797506,-0.206566305,-0.038049669,-0.075102114
    1972-06-01,-0.183184722,-0.190486389,-0.183184722,-0.190486392,-0.742982229,-0.079903528,-0.191784846,-0.206052035,0.559797506,-0.206566305,0.008600123,-0.078564467
