period,tarea,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,valid_obs,valid_obs_py,reg,perc_area_meas,perc_area_res,area_nodata,area
2000-01-01_2005-01-01,89246250000.0,-0.652,0.06,-58210635495.0,5312934203.0,-49.479,5.709,-0.554,0.064,3.89,2.51,1.0,0.983,0.99,17684000.0,86725053000.0
2000-01-01_2020-01-01,86088200000.0,-0.911,0.038,-78413624315.0,3199246835.0,-66.6516,5.4342,-0.774,0.064,28.62,11.5,1.0,0.983,0.99,17684000.0,86725053000.0
2005-01-01_2010-01-01,87140900000.0,-0.802,0.056,-69873695550.0,4840450896.0,-59.3926,5.8741,-0.682,0.068,4.43,2.31,1.0,0.983,0.99,17684000.0,86725053000.0
2010-01-01_2015-01-01,85035500000.0,-0.975,0.058,-82942355737.0,4830354203.0,-70.501,6.4516,-0.829,0.076,6.91,2.33,1.0,0.983,0.99,17684000.0,86725053000.0
2015-01-01_2020-01-01,82930150000.0,-1.238,0.054,-102627810479.0,4392788432.0,-87.2336,7.2013,-1.052,0.087,13.39,4.36,1.0,0.983,0.99,17684000.0,86725053000.0
2000-01-01_2005-01-01,14826500000.0,-0.246,0.052,-3648306014.0,768171565.0,-3.1011,0.6887,-0.209,0.046,6.02,3.41,2.0,0.977,0.982,40068000.0,14524224000.0
2000-01-01_2020-01-01,14274250000.0,-0.623,0.055,-8894467518.0,773246142.0,-7.5603,0.8466,-0.53,0.06,28.28,13.26,2.0,0.977,0.982,40068000.0,14524224000.0
2005-01-01_2010-01-01,14458300000.0,-0.468,0.052,-6765078068.0,754572830.0,-5.7503,0.759,-0.398,0.053,8.59,3.71,2.0,0.977,0.982,40068000.0,14524224000.0
2010-01-01_2015-01-01,14090100000.0,-0.761,0.077,-10718197215.0,1082430738.0,-9.1105,1.1225,-0.647,0.08,5.18,2.65,2.0,0.977,0.982,40068000.0,14524224000.0
2015-01-01_2020-01-01,13721950000.0,-1.053,0.106,-14446288774.0,1442971309.0,-12.2793,1.5019,-0.895,0.11,8.48,3.48,2.0,0.977,0.982,40068000.0,14524224000.0
2000-01-01_2005-01-01,104889900000.0,-0.27,0.043,-28277944800.0,4452043790.0,-24.0363,4.1472,-0.229,0.04,11.6,4.03,3.0,0.995,0.999,589000.0,105110642000.0
2000-01-01_2020-01-01,104316000000.0,-0.345,0.013,-35953347638.0,1302142775.0,-30.5603,2.4246,-0.293,0.023,55.27,16.28,3.0,0.995,0.999,589000.0,105110642000.0
2005-01-01_2010-01-01,104507300000.0,-0.384,0.028,-40178280626.0,2941135542.0,-34.1515,3.4729,-0.327,0.033,8.91,3.52,3.0,0.995,0.999,589000.0,105110642000.0
2010-01-01_2015-01-01,104124700000.0,-0.397,0.023,-41380254131.0,2341425710.0,-35.1732,3.182,-0.338,0.031,15.32,4.23,3.0,0.995,0.999,589000.0,105110642000.0
2015-01-01_2020-01-01,103742100000.0,-0.328,0.03,-33976910995.0,3091654615.0,-28.8804,3.3259,-0.278,0.032,19.44,4.5,3.0,0.995,0.999,589000.0,105110642000.0
2000-01-01_2005-01-01,40802350000.0,-0.634,0.075,-25870795789.0,3064097218.0,-21.9902,3.032,-0.539,0.075,3.99,2.49,4.0,0.994,0.999,1423000.0,40888228000.0
2000-01-01_2020-01-01,40579100000.0,-0.768,0.031,-31178582562.0,1202677654.0,-26.5018,2.1318,-0.653,0.053,28.26,13.41,4.0,0.994,0.999,1423000.0,40888228000.0
2005-01-01_2010-01-01,40653500000.0,-0.728,0.046,-29579449167.0,1831813767.0,-25.1425,2.361,-0.618,0.058,5.77,3.34,4.0,0.994,0.999,1423000.0,40888228000.0
2010-01-01_2015-01-01,40504700000.0,-0.843,0.038,-34127451928.0,1489731024.0,-29.0083,2.4076,-0.716,0.06,8.1,3.55,4.0,0.994,0.999,1423000.0,40888228000.0
2015-01-01_2020-01-01,40355850000.0,-0.871,0.052,-35136633365.0,2072063726.0,-29.8661,2.7471,-0.74,0.068,10.4,4.02,4.0,0.994,0.999,1423000.0,40888228000.0
2000-01-01_2005-01-01,88613600000.0,-0.487,0.034,-43113818256.0,3013681478.0,-36.6467,3.6406,-0.414,0.041,13.42,4.04,5.0,0.99,0.995,20313000.0,89717066000.0
2000-01-01_2020-01-01,83095950000.0,-0.503,0.021,-41782646151.0,1693589220.0,-35.5152,2.8909,-0.427,0.035,66.12,16.23,5.0,0.99,0.995,20313000.0,89717066000.0
2005-01-01_2010-01-01,84935150000.0,-0.488,0.024,-41445628893.0,2011813763.0,-35.2288,3.018,-0.415,0.036,11.17,3.76,5.0,0.99,0.995,20313000.0,89717066000.0
2010-01-01_2015-01-01,81256750000.0,-0.567,0.027,-46079788517.0,2111734914.0,-39.1678,3.2964,-0.482,0.041,18.84,4.03,5.0,0.99,0.995,20313000.0,89717066000.0
2015-01-01_2020-01-01,77578350000.0,-0.47,0.025,-36491348938.0,1868304409.0,-31.0176,2.7048,-0.4,0.035,22.68,4.41,5.0,0.99,0.995,20313000.0,89717066000.0
2000-01-01_2005-01-01,10960150000.0,-1.211,0.091,-13269516832.0,983342695.0,-11.2791,1.1543,-1.029,0.106,13.45,4.42,6.0,0.996,1.0,0.0,11059700000.0
2000-01-01_2020-01-01,10661550000.0,-1.033,0.029,-11012841690.0,286433803.0,-9.3609,0.7042,-0.878,0.067,66.38,17.31,6.0,0.996,1.0,0.0,11059700000.0
2005-01-01_2010-01-01,10761050000.0,-1.173,0.059,-12618880761.0,623765471.0,-10.726,0.9243,-0.997,0.086,13.88,4.12,6.0,0.996,1.0,0.0,11059700000.0
2010-01-01_2015-01-01,10562000000.0,-0.968,0.061,-10227839004.0,635776928.0,-8.6937,0.8177,-0.823,0.078,26.6,4.4,6.0,0.996,1.0,0.0,11059700000.0
2015-01-01_2020-01-01,10362950000.0,-0.766,0.064,-7935130163.0,662647327.0,-6.7449,0.7375,-0.651,0.071,12.45,4.37,6.0,0.996,1.0,0.0,11059700000.0
2000-01-01_2005-01-01,34127100000.0,-0.259,0.045,-8827462902.0,1530717430.0,-7.5033,1.4048,-0.22,0.041,8.66,4.0,7.0,0.994,1.0,34000.0,34187175000.0
2000-01-01_2020-01-01,33741350000.0,-0.367,0.015,-12399004187.0,476088573.0,-10.5392,0.8469,-0.312,0.025,48.23,15.68,7.0,0.994,1.0,34000.0,34187175000.0
2005-01-01_2010-01-01,33869950000.0,-0.281,0.03,-9532150969.0,1020583620.0,-8.1023,1.0391,-0.239,0.031,6.55,3.56,7.0,0.994,1.0,34000.0,34187175000.0
2010-01-01_2015-01-01,33612800000.0,-0.377,0.031,-12660392388.0,1034920870.0,-10.7613,1.1623,-0.32,0.035,10.62,3.66,7.0,0.994,1.0,34000.0,34187175000.0
2015-01-01_2020-01-01,33355600000.0,-0.557,0.038,-18576010487.0,1239149530.0,-15.7896,1.5335,-0.473,0.046,22.4,4.46,7.0,0.994,1.0,34000.0,34187175000.0
2000-01-01_2005-01-01,2945100000.0,-0.766,0.092,-2255491532.0,269534253.0,-1.9172,0.2661,-0.651,0.091,6.49,3.79,8.0,0.995,0.999,406000.0,2949103000.0
2000-01-01_2020-01-01,2885400000.0,-0.68,0.056,-1961837569.0,161695116.0,-1.6676,0.181,-0.578,0.063,26.97,13.71,8.0,0.995,0.999,406000.0,2949103000.0
2005-01-01_2010-01-01,2905300000.0,-0.672,0.071,-1951492093.0,205468423.0,-1.6588,0.2103,-0.571,0.073,4.39,2.98,8.0,0.995,0.999,406000.0,2949103000.0
2010-01-01_2015-01-01,2865500000.0,-0.718,0.072,-2056186965.0,205598427.0,-1.7478,0.2139,-0.61,0.075,8.07,3.24,8.0,0.995,0.999,406000.0,2949103000.0
2015-01-01_2020-01-01,2825700000.0,-0.561,0.087,-1584179688.0,246305481.0,-1.3466,0.2299,-0.477,0.082,8.02,3.71,8.0,0.995,0.999,406000.0,2949103000.0
2000-01-01_2005-01-01,51847100000.0,-0.19,0.049,-9858226276.0,2549867194.0,-8.3795,2.2466,-0.162,0.043,5.19,2.96,9.0,0.993,1.0,0.0,51591600000.0
2000-01-01_2020-01-01,51261100000.0,-0.239,0.014,-12246986025.0,692908725.0,-10.4099,0.9417,-0.203,0.018,51.93,14.38,9.0,0.993,1.0,0.0,51591600000.0
2005-01-01_2010-01-01,51456450000.0,-0.219,0.027,-11281821917.0,1371925779.0,-9.5895,1.3484,-0.186,0.026,5.21,2.72,9.0,0.993,1.0,0.0,51591600000.0
2010-01-01_2015-01-01,51065750000.0,-0.244,0.026,-12476177242.0,1322873540.0,-10.6048,1.3508,-0.208,0.027,19.27,4.45,9.0,0.993,1.0,0.0,51591600000.0
2015-01-01_2020-01-01,50675100000.0,-0.303,0.03,-15371718667.0,1519373600.0,-13.066,1.587,-0.258,0.031,22.26,4.25,9.0,0.993,1.0,0.0,51591600000.0
2000-01-01_2005-01-01,2498150000.0,-0.51,0.106,-1275057492.0,263315044.0,-1.0838,0.2365,-0.434,0.095,5.78,2.92,10.0,0.952,0.956,88524000.0,2410051000.0
2000-01-01_2020-01-01,2420450000.0,-0.611,0.08,-1479667105.0,193146667.0,-1.2577,0.1866,-0.52,0.077,37.5,13.13,10.0,0.952,0.956,88524000.0,2410051000.0
2005-01-01_2010-01-01,2446300000.0,-0.591,0.096,-1445651426.0,233229114.0,-1.2288,0.2164,-0.502,0.089,10.13,2.89,10.0,0.952,0.956,88524000.0,2410051000.0
2010-01-01_2015-01-01,2394500000.0,-0.652,0.102,-1560954296.0,244545252.0,-1.3268,0.228,-0.554,0.095,11.88,3.59,10.0,0.952,0.956,88524000.0,2410051000.0
2015-01-01_2020-01-01,2342700000.0,-0.699,0.115,-1637005204.0,268494999.0,-1.3915,0.2485,-0.594,0.106,9.71,3.72,10.0,0.952,0.956,88524000.0,2410051000.0
2000-01-01_2005-01-01,2101850000.0,-0.971,0.134,-2041937570.0,280627319.0,-1.7356,0.2682,-0.826,0.128,11.2,4.08,11.0,0.97,0.977,10358000.0,2092146000.0
2000-01-01_2020-01-01,1955950000.0,-1.017,0.104,-1988681813.0,203349320.0,-1.6904,0.21,-0.864,0.108,46.84,16.35,11.0,0.97,0.977,10358000.0,2092146000.0
2005-01-01_2010-01-01,2004600000.0,-0.991,0.113,-1987528429.0,224658677.0,-1.6894,0.2251,-0.843,0.113,10.39,3.96,11.0,0.97,0.977,10358000.0,2092146000.0
